paper_id,section_id,section_name,section_type,claim_id,claim_text,subject,predicate,object,context_summary,context_json,details_summary,details_json,linked_evidence_ids,evidence_count,evidence_summary,evidence_items_json,links_json
Rietveld_et_al_2013_Science,section_997b1c34041edf8b,fallback_section_001,OTHER,claim_c3ff31795337d4ca,Approximately 40% of the variance in educational attainment is explained by genetic factors.,genetic factors,explain,variance in educational attainment,population=value='participants in various studies on educational attainment' entity_type='population' ontology=None; condition=value='educational attainment outcomes' entity_type='condition' ontology=None,"{'population': SemanticField(value='participants in various studies on educational attainment', entity_type='population', ontology=None), 'condition': SemanticField(value='educational attainment outcomes', entity_type='condition', ontology=None)}",effect_size=40%; sample_size=None,"{""effect_size"": ""40%"", ""sample_size"": null}",,0,,[],[]
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_421a6c60022577d3,One genome-wide-significant locus (rs9320913) was identified for EduYears,rs9320913,is associated with,EduYears,"population=value='Caucasian individuals' entity_type='population' ontology=None; setting=value='discovery phase GWAS' entity_type='setting' ontology=None; cohort=value='101,069 individuals' entity_type='cohort' ontology=None","{'population': SemanticField(value='Caucasian individuals', entity_type='population', ontology=None), 'setting': SemanticField(value='discovery phase GWAS', entity_type='setting', ontology=None), 'cohort': SemanticField(value='101,069 individuals', entity_type='cohort', ontology=None)}",effect_size=None; sample_size=101069,"{""effect_size"": null, ""sample_size"": 101069}",evidence_fbdfe61af4c94437,1,literature_review: Identified one genome-wide-significant locus (rs9320913) for EduYears with a P value of 4.2 × 10 -9.,"[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""Caucasian individuals""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""discovery phase GWAS""}}, ""details"": {""outcome_name"": ""EduYears""}, ""evidence_id"": ""evidence_fbdfe61af4c94437"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""literature_review""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""genetic_variation"", ""raw_text"": ""genetic_variation"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""observational"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""Identified one genome-wide-significant locus (rs9320913) for EduYears with a P value of 4.2 × 10 -9.""}]","[{""claim_id"": ""claim_421a6c60022577d3"", ""confidence"": 0.85, ""evidence_id"": ""evidence_fbdfe61af4c94437"", ""link_id"": ""claim_evidence_link_4b0cf78257ba4143"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_6e54f17b21645b2f,Two genome-wide-significant loci (rs11584700 and rs4851266) were identified for College,"rs11584700, rs4851266",are associated with,College,"population=value='Caucasian individuals' entity_type='population' ontology=None; setting=value='discovery phase GWAS' entity_type='setting' ontology=None; cohort=value='95,427 individuals' entity_type='cohort' ontology=None","{'population': SemanticField(value='Caucasian individuals', entity_type='population', ontology=None), 'setting': SemanticField(value='discovery phase GWAS', entity_type='setting', ontology=None), 'cohort': SemanticField(value='95,427 individuals', entity_type='cohort', ontology=None)}",effect_size=None; sample_size=95427,"{""effect_size"": null, ""sample_size"": 95427}",evidence_b5b142df049a8f6b,1,"literature_review: Identified two genome-wide-significant loci (rs11584700 and rs4851266) for College with P values of 2.1 × 10 -9 and 2.2 × 10 -9, respectively.","[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""Caucasian individuals""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""discovery phase GWAS""}}, ""details"": {""outcome_name"": ""College""}, ""evidence_id"": ""evidence_b5b142df049a8f6b"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""literature_review""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""genetic_variation"", ""raw_text"": ""genetic_variation"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""observational"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""Identified two genome-wide-significant loci (rs11584700 and rs4851266) for College with P values of 2.1 × 10 -9 and 2.2 × 10 -9, respectively.""}]","[{""claim_id"": ""claim_6e54f17b21645b2f"", ""confidence"": 0.85, ""evidence_id"": ""evidence_b5b142df049a8f6b"", ""link_id"": ""claim_evidence_link_0f8c918d23c0b4c1"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_1616be36ec5abca4,The SNP rs9320913 explains 0.022% of phenotypic variance in educational attainment.,SNP rs9320913,explains,0.022% of phenotypic variance,population=value='replication sample' entity_type='population' ontology=None; setting=value='educational attainment' entity_type='setting' ontology=None,"{'population': SemanticField(value='replication sample', entity_type='population', ontology=None), 'setting': SemanticField(value='educational attainment', entity_type='setting', ontology=None)}",effect_size=0.022%; sample_size=unknown; model_type=linear regression,"{""effect_size"": ""0.022%"", ""model_type"": ""linear regression"", ""sample_size"": ""unknown""}",evidence_de955481d70ad6a1,1,meta_analysis: The strongest SNP effect for EduYears explains 0.022% of phenotypic variance.,"[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""replication sample""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""EduYears""}}, ""details"": {""effect_size"": ""0.022%"", ""outcome_name"": ""phenotypic variance"", ""sample_size"": ""unknown""}, ""evidence_id"": ""evidence_de955481d70ad6a1"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""meta_analysis""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""Statistical Measures Ontology"", ""raw_text"": ""Statistical Measures Ontology"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""supporting"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""The strongest SNP effect for EduYears explains 0.022% of phenotypic variance.""}]","[{""claim_id"": ""claim_1616be36ec5abca4"", ""confidence"": 0.85, ""evidence_id"": ""evidence_de955481d70ad6a1"", ""link_id"": ""claim_evidence_link_b54446957a40cdc0"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_03f1e2a061988f41,The SNP rs11584700 has an odds ratio of 0.912 for College completion.,SNP rs11584700,has an odds ratio of,0.912,population=value='replication sample' entity_type='population' ontology=None; setting=value='College completion' entity_type='setting' ontology=None,"{'population': SemanticField(value='replication sample', entity_type='population', ontology=None), 'setting': SemanticField(value='College completion', entity_type='setting', ontology=None)}",effect_size=1.8 percentage points per allele; sample_size=unknown,"{""effect_size"": ""1.8 percentage points per allele"", ""sample_size"": ""unknown""}",evidence_db892eec9dc47c25,1,meta_analysis: The SNP with the strongest effect for College completion has an odds ratio of 0.912.,"[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""replication sample""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""College completion""}}, ""details"": {""effect_size"": ""1.8 percentage points per allele"", ""sample_size"": ""unknown""}, ""evidence_id"": ""evidence_db892eec9dc47c25"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""meta_analysis""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""Statistical Measures Ontology"", ""raw_text"": ""Statistical Measures Ontology"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""supporting"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""The SNP with the strongest effect for College completion has an odds ratio of 0.912.""}]","[{""claim_id"": ""claim_03f1e2a061988f41"", ""confidence"": 0.85, ""evidence_id"": ""evidence_db892eec9dc47c25"", ""link_id"": ""claim_evidence_link_6afc2ae2dee5871d"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_03c29f5a900e06dc,fallback_section_005,OTHER,claim_dee8fddaa65c4a4a,Educational attainment is a highly polygenic trait.,educational attainment,is a,highly polygenic trait,population=value='family-based samples from QIMR and STR' entity_type='population' ontology=None; setting=value='educational analysis' entity_type='setting' ontology=None; cohort=value='QIMR and STR cohorts' entity_type='cohort' ontology=None,"{'population': SemanticField(value='family-based samples from QIMR and STR', entity_type='population', ontology=None), 'setting': SemanticField(value='educational analysis', entity_type='setting', ontology=None), 'cohort': SemanticField(value='QIMR and STR cohorts', entity_type='cohort', ontology=None)}",effect_size=highly polygenic; sample_size=large family-based samples,"{""effect_size"": ""highly polygenic"", ""sample_size"": ""large family-based samples""}",evidence_33cdda61e345dc65,1,observation: The amount of variance accounted for increases as the P value threshold becomes less conservative.,"[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""family-based samples""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""educational analysis""}}, ""details"": {""sample_size"": ""QIMR and STR cohorts""}, ""evidence_id"": ""evidence_33cdda61e345dc65"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""observation""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""education_ontology"", ""raw_text"": ""education_ontology"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""study results"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0014"", ""Rietveld_et_al_2013_Science-span-0015"", ""Rietveld_et_al_2013_Science-span-0016"", ""Rietveld_et_al_2013_Science-span-0017""], ""summary_text"": ""The amount of variance accounted for increases as the P value threshold becomes less conservative.""}]","[{""claim_id"": ""claim_dee8fddaa65c4a4a"", ""confidence"": null, ""evidence_id"": ""evidence_33cdda61e345dc65"", ""link_id"": ""claim_evidence_link_e88254339940f432"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_03c29f5a900e06dc,fallback_section_005,OTHER,claim_b344bff077732a4b,The linear polygenic score from all measured SNPs accounts for approximately 2-3% of the variance in educational years.,linear polygenic score,accounts for,approximately 2-3% of the variance in educational years,population=value='STR and QIMR samples' entity_type='population' ontology=None; modality=value='linear polygenic score analysis' entity_type='modality' ontology=None,"{'population': SemanticField(value='STR and QIMR samples', entity_type='population', ontology=None), 'modality': SemanticField(value='linear polygenic score analysis', entity_type='modality', ontology=None)}",effect_size=2-3%,"{""effect_size"": ""2-3%""}",evidence_33cdda61e345dc65,1,observation: The amount of variance accounted for increases as the P value threshold becomes less conservative.,"[{""context"": {""population"": {""entity_type"": ""population"", ""ontology"": null, ""value"": ""family-based samples""}, ""setting"": {""entity_type"": ""setting"", ""ontology"": null, ""value"": ""educational analysis""}}, ""details"": {""sample_size"": ""QIMR and STR cohorts""}, ""evidence_id"": ""evidence_33cdda61e345dc65"", ""evidence_method"": {""entity_type"": ""evidence_method"", ""ontology"": null, ""value"": ""observation""}, ""ontology"": {""annotation_type"": ""classification"", ""candidate_mappings"": [], ""mapping_method"": ""section_context_v1_string_fallback"", ""mapping_status"": ""unresolved"", ""normalized_text"": ""education_ontology"", ""raw_text"": ""education_ontology"", ""selected_mapping"": null}, ""outcome_type"": {""entity_type"": ""outcome_type"", ""ontology"": null, ""value"": ""quantitative_measure""}, ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": {""entity_type"": ""presentation_type"", ""ontology"": null, ""value"": ""text""}, ""role"": ""study results"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0014"", ""Rietveld_et_al_2013_Science-span-0015"", ""Rietveld_et_al_2013_Science-span-0016"", ""Rietveld_et_al_2013_Science-span-0017""], ""summary_text"": ""The amount of variance accounted for increases as the P value threshold becomes less conservative.""}]","[{""claim_id"": ""claim_b344bff077732a4b"", ""confidence"": null, ""evidence_id"": ""evidence_33cdda61e345dc65"", ""link_id"": ""claim_evidence_link_340ea45561d7cb41"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_03c29f5a900e06dc,fallback_section_005,OTHER,claim_f66cd1a6b3939051,Some SNPs matter for education through their stronger effects on cognitive function.,SNPs,affect,educational outcomes,population=value='subset of males in STR' entity_type='population' ontology=None; condition=value='through their stronger effects on cognitive function' entity_type='condition' ontology=None,"{'population': SemanticField(value='subset of males in STR', entity_type='population', ontology=None), 'condition': SemanticField(value='through their stronger effects on cognitive function', entity_type='condition', ontology=None)}",directionality_note=stronger effects on cognitive function,"{""directionality_note"": ""stronger effects on cognitive function""}",,0,,[],[]
Rietveld_et_al_2013_Science,section_65c7d7d1cce53dfc,fallback_section_006,OTHER,claim_dd7d4a89c80e4366,The genetic architecture of complex behavioral traits is far more diffuse than that of complex physical traits.,complex behavioral traits,is more diffuse than,complex physical traits,population=value='educational attainment' entity_type='population' ontology=None; setting=value='GWAS literature' entity_type='setting' ontology=None; condition=value='social-science traits' entity_type='condition' ontology=None,"{'population': SemanticField(value='educational attainment', entity_type='population', ontology=None), 'setting': SemanticField(value='GWAS literature', entity_type='setting', ontology=None), 'condition': SemanticField(value='social-science traits', entity_type='condition', ontology=None)}",effect_size=0.02%; study_count=1,"{""effect_size"": ""0.02%"", ""study_count"": 1}",,0,,[],[]
Rietveld_et_al_2013_Science,section_65c7d7d1cce53dfc,fallback_section_006,OTHER,claim_3b3b800d9f6a0c00,Existing claims of 'candidate gene' associations with complex social-science traits have reported effect sizes more than 100 times larger than those found in this study.,candidate gene associations,have reported,effect sizes,population=value='complex social-science phenotypes' entity_type='population' ontology=None,"{'population': SemanticField(value='complex social-science phenotypes', entity_type='population', ontology=None)}",directionality_note=more than 100 times larger; count=4,"{""count"": 4, ""directionality_note"": ""more than 100 times larger""}",,0,,[],[]
